11.12.2018 14:28:18: 	null , null , null , RPM Bath Sensor: 2209
10.01.2019 21:51:52: 	Temperature: 18 , Humidity: 38 , Fensterzustand: Fenster offen , RPM Bath de.hda.fbi.ds.groupc2.Sensor: 976
10.01.2019 21:51:53: 	Temperature: 10 , Humidity: 73 , Fensterzustand: Fenster geschlossen , RPM Bath de.hda.fbi.ds.groupc2.Sensor: 369
10.01.2019 21:51:54: 	Temperature: 29 , Humidity: 47 , Fensterzustand: Fenster offen , RPM Bath de.hda.fbi.ds.groupc2.Sensor: 3639
10.01.2019 21:51:55: 	Temperature: 24 , Humidity: 22 , Fensterzustand: Fenster offen , RPM Bath de.hda.fbi.ds.groupc2.Sensor: 3043
10.01.2019 21:51:56: 	Temperature: 27 , Humidity: 33 , Fensterzustand: Fenster offen , RPM Bath de.hda.fbi.ds.groupc2.Sensor: 2388
10.01.2019 21:51:57: 	Temperature: 14 , Humidity: 34 , Fensterzustand: Fenster geschlossen , RPM Bath de.hda.fbi.ds.groupc2.Sensor: 372
10.01.2019 21:51:58: 	Temperature: 33 , Humidity: 69 , Fensterzustand: Fenster geschlossen , RPM Bath de.hda.fbi.ds.groupc2.Sensor: 3344
10.01.2019 21:51:59: 	Temperature: 16 , Humidity: 70 , Fensterzustand: Fenster geschlossen , RPM Bath de.hda.fbi.ds.groupc2.Sensor: 2779
10.01.2019 21:52:00: 	Temperature: 39 , Humidity: 76 , Fensterzustand: Fenster geschlossen , RPM Bath de.hda.fbi.ds.groupc2.Sensor: 878
10.01.2019 21:52:01: 	Temperature: 18 , Humidity: 47 , Fensterzustand: Fenster geschlossen , RPM Bath de.hda.fbi.ds.groupc2.Sensor: 3779
10.01.2019 21:52:02: 	Temperature: 13 , Humidity: 26 , Fensterzustand: Fenster geschlossen , RPM Bath de.hda.fbi.ds.groupc2.Sensor: 1507
10.01.2019 21:52:03: 	Temperature: 22 , Humidity: 28 , Fensterzustand: Fenster offen , RPM Bath de.hda.fbi.ds.groupc2.Sensor: 2070
10.01.2019 21:52:04: 	Temperature: 24 , Humidity: 37 , Fensterzustand: Fenster geschlossen , RPM Bath de.hda.fbi.ds.groupc2.Sensor: 3677
10.01.2019 21:52:05: 	Temperature: 14 , Humidity: 74 , Fensterzustand: Fenster offen , RPM Bath de.hda.fbi.ds.groupc2.Sensor: 2400
10.01.2019 21:52:06: 	Temperature: 33 , Humidity: 30 , Fensterzustand: Fenster geschlossen , RPM Bath de.hda.fbi.ds.groupc2.Sensor: 562
10.01.2019 21:52:07: 	Temperature: 38 , Humidity: 62 , Fensterzustand: Fenster offen , RPM Bath de.hda.fbi.ds.groupc2.Sensor: 2159
10.01.2019 21:52:08: 	Temperature: 37 , Humidity: 55 , Fensterzustand: Fenster geschlossen , RPM Bath de.hda.fbi.ds.groupc2.Sensor: 962
10.01.2019 21:52:09: 	Temperature: 26 , Humidity: 62 , Fensterzustand: Fenster geschlossen , RPM Bath de.hda.fbi.ds.groupc2.Sensor: 1413
10.01.2019 21:52:10: 	Temperature: 23 , Humidity: 44 , Fensterzustand: Fenster geschlossen , RPM Bath de.hda.fbi.ds.groupc2.Sensor: 1473
10.01.2019 21:52:11: 	Temperature: 26 , Humidity: 39 , Fensterzustand: Fenster geschlossen , RPM Bath de.hda.fbi.ds.groupc2.Sensor: 3682
10.01.2019 21:52:12: 	Temperature: 22 , Humidity: 35 , Fensterzustand: Fenster geschlossen , RPM Bath de.hda.fbi.ds.groupc2.Sensor: 795
10.01.2019 21:52:13: 	Temperature: 35 , Humidity: 26 , Fensterzustand: Fenster offen , RPM Bath de.hda.fbi.ds.groupc2.Sensor: 3412
10.01.2019 21:52:14: 	Temperature: 34 , Humidity: 71 , Fensterzustand: Fenster offen , RPM Bath de.hda.fbi.ds.groupc2.Sensor: 3629
10.01.2019 21:52:15: 	Temperature: 40 , Humidity: 74 , Fensterzustand: Fenster offen , RPM Bath de.hda.fbi.ds.groupc2.Sensor: 2907
10.01.2019 21:52:16: 	Temperature: 16 , Humidity: 50 , Fensterzustand: Fenster geschlossen , RPM Bath de.hda.fbi.ds.groupc2.Sensor: 2953
10.01.2019 21:52:17: 	Temperature: 11 , Humidity: 31 , Fensterzustand: Fenster offen , RPM Bath de.hda.fbi.ds.groupc2.Sensor: 2587
10.01.2019 21:52:18: 	Temperature: 20 , Humidity: 63 , Fensterzustand: Fenster offen , RPM Bath de.hda.fbi.ds.groupc2.Sensor: 1751
10.01.2019 21:52:19: 	Temperature: 18 , Humidity: 74 , Fensterzustand: Fenster geschlossen , RPM Bath de.hda.fbi.ds.groupc2.Sensor: 344
10.01.2019 21:52:20: 	Temperature: 28 , Humidity: 64 , Fensterzustand: Fenster offen , RPM Bath de.hda.fbi.ds.groupc2.Sensor: 927
10.01.2019 21:52:21: 	Temperature: 23 , Humidity: 69 , Fensterzustand: Fenster geschlossen , RPM Bath de.hda.fbi.ds.groupc2.Sensor: 3671
10.01.2019 21:52:22: 	Temperature: 37 , Humidity: 79 , Fensterzustand: Fenster geschlossen , RPM Bath de.hda.fbi.ds.groupc2.Sensor: 2776
10.01.2019 21:52:23: 	Temperature: 16 , Humidity: 25 , Fensterzustand: Fenster geschlossen , RPM Bath de.hda.fbi.ds.groupc2.Sensor: 1797
10.01.2019 21:52:24: 	Temperature: 39 , Humidity: 50 , Fensterzustand: Fenster offen , RPM Bath de.hda.fbi.ds.groupc2.Sensor: 2749
10.01.2019 21:52:25: 	Temperature: 16 , Humidity: 54 , Fensterzustand: Fenster geschlossen , RPM Bath de.hda.fbi.ds.groupc2.Sensor: 2686
10.01.2019 21:52:26: 	Temperature: 31 , Humidity: 57 , Fensterzustand: Fenster geschlossen , RPM Bath de.hda.fbi.ds.groupc2.Sensor: 2010
10.01.2019 21:52:27: 	Temperature: 18 , Humidity: 79 , Fensterzustand: Fenster geschlossen , RPM Bath de.hda.fbi.ds.groupc2.Sensor: 3046
10.01.2019 21:52:28: 	Temperature: 24 , Humidity: 21 , Fensterzustand: Fenster offen , RPM Bath de.hda.fbi.ds.groupc2.Sensor: 776
10.01.2019 21:52:29: 	Temperature: 26 , Humidity: 57 , Fensterzustand: Fenster geschlossen , RPM Bath de.hda.fbi.ds.groupc2.Sensor: 1086
10.01.2019 21:52:30: 	Temperature: 37 , Humidity: 52 , Fensterzustand: Fenster offen , RPM Bath de.hda.fbi.ds.groupc2.Sensor: 2852
10.01.2019 21:52:31: 	Temperature: 40 , Humidity: 62 , Fensterzustand: Fenster geschlossen , RPM Bath de.hda.fbi.ds.groupc2.Sensor: 1741
10.01.2019 21:52:32: 	Temperature: 27 , Humidity: 79 , Fensterzustand: Fenster offen , RPM Bath de.hda.fbi.ds.groupc2.Sensor: 557
10.01.2019 21:52:34: 	Temperature: 15 , Humidity: 39 , Fensterzustand: Fenster offen , RPM Bath de.hda.fbi.ds.groupc2.Sensor: 1176
10.01.2019 21:52:35: 	Temperature: 13 , Humidity: 60 , Fensterzustand: Fenster geschlossen , RPM Bath de.hda.fbi.ds.groupc2.Sensor: 3122
10.01.2019 21:52:36: 	Temperature: 20 , Humidity: 27 , Fensterzustand: Fenster geschlossen , RPM Bath de.hda.fbi.ds.groupc2.Sensor: 1225
10.01.2019 21:52:37: 	Temperature: 33 , Humidity: 40 , Fensterzustand: Fenster offen , RPM Bath de.hda.fbi.ds.groupc2.Sensor: 1707
10.01.2019 21:52:38: 	Temperature: 20 , Humidity: 25 , Fensterzustand: Fenster geschlossen , RPM Bath de.hda.fbi.ds.groupc2.Sensor: 3716
10.01.2019 21:52:39: 	Temperature: 22 , Humidity: 28 , Fensterzustand: Fenster offen , RPM Bath de.hda.fbi.ds.groupc2.Sensor: 3380
10.01.2019 21:52:40: 	Temperature: 11 , Humidity: 78 , Fensterzustand: Fenster offen , RPM Bath de.hda.fbi.ds.groupc2.Sensor: 2586
10.01.2019 21:52:41: 	Temperature: 19 , Humidity: 70 , Fensterzustand: Fenster geschlossen , RPM Bath de.hda.fbi.ds.groupc2.Sensor: 2063
10.01.2019 21:52:42: 	Temperature: 11 , Humidity: 48 , Fensterzustand: Fenster offen , RPM Bath de.hda.fbi.ds.groupc2.Sensor: 3309
10.01.2019 21:52:43: 	Temperature: 28 , Humidity: 55 , Fensterzustand: Fenster geschlossen , RPM Bath de.hda.fbi.ds.groupc2.Sensor: 3949
10.01.2019 21:52:44: 	Temperature: 26 , Humidity: 43 , Fensterzustand: Fenster geschlossen , RPM Bath de.hda.fbi.ds.groupc2.Sensor: 2156
10.01.2019 21:52:45: 	Temperature: 31 , Humidity: 34 , Fensterzustand: Fenster offen , RPM Bath de.hda.fbi.ds.groupc2.Sensor: 2452
10.01.2019 21:52:46: 	Temperature: 25 , Humidity: 52 , Fensterzustand: Fenster offen , RPM Bath de.hda.fbi.ds.groupc2.Sensor: 1185
10.01.2019 21:52:47: 	Temperature: 26 , Humidity: 22 , Fensterzustand: Fenster geschlossen , RPM Bath de.hda.fbi.ds.groupc2.Sensor: 3192
10.01.2019 21:52:48: 	Temperature: 29 , Humidity: 38 , Fensterzustand: Fenster offen , RPM Bath de.hda.fbi.ds.groupc2.Sensor: 2614
10.01.2019 21:52:49: 	Temperature: 17 , Humidity: 35 , Fensterzustand: Fenster offen , RPM Bath de.hda.fbi.ds.groupc2.Sensor: 3500
10.01.2019 21:52:50: 	Temperature: 14 , Humidity: 46 , Fensterzustand: Fenster geschlossen , RPM Bath de.hda.fbi.ds.groupc2.Sensor: 3256
10.01.2019 21:52:51: 	Temperature: 13 , Humidity: 44 , Fensterzustand: Fenster offen , RPM Bath de.hda.fbi.ds.groupc2.Sensor: 354
10.01.2019 21:52:52: 	Temperature: 36 , Humidity: 63 , Fensterzustand: Fenster geschlossen , RPM Bath de.hda.fbi.ds.groupc2.Sensor: 965
10.01.2019 21:52:53: 	Temperature: 27 , Humidity: 80 , Fensterzustand: Fenster offen , RPM Bath de.hda.fbi.ds.groupc2.Sensor: 497
10.01.2019 21:52:54: 	Temperature: 40 , Humidity: 66 , Fensterzustand: Fenster offen , RPM Bath de.hda.fbi.ds.groupc2.Sensor: 518
10.01.2019 21:52:55: 	Temperature: 24 , Humidity: 32 , Fensterzustand: Fenster offen , RPM Bath de.hda.fbi.ds.groupc2.Sensor: 437
10.01.2019 21:52:56: 	Temperature: 29 , Humidity: 35 , Fensterzustand: Fenster offen , RPM Bath de.hda.fbi.ds.groupc2.Sensor: 2122
10.01.2019 21:52:57: 	Temperature: 23 , Humidity: 79 , Fensterzustand: Fenster offen , RPM Bath de.hda.fbi.ds.groupc2.Sensor: 1408
10.01.2019 21:52:58: 	Temperature: 35 , Humidity: 25 , Fensterzustand: Fenster offen , RPM Bath de.hda.fbi.ds.groupc2.Sensor: 1862
10.01.2019 21:52:59: 	Temperature: 18 , Humidity: 50 , Fensterzustand: Fenster geschlossen , RPM Bath de.hda.fbi.ds.groupc2.Sensor: 3256
10.01.2019 21:53:00: 	Temperature: 33 , Humidity: 52 , Fensterzustand: Fenster geschlossen , RPM Bath de.hda.fbi.ds.groupc2.Sensor: 960
10.01.2019 21:53:01: 	Temperature: 27 , Humidity: 51 , Fensterzustand: Fenster geschlossen , RPM Bath de.hda.fbi.ds.groupc2.Sensor: 3534
10.01.2019 21:53:02: 	Temperature: 13 , Humidity: 57 , Fensterzustand: Fenster geschlossen , RPM Bath de.hda.fbi.ds.groupc2.Sensor: 2700
10.01.2019 21:53:03: 	Temperature: 34 , Humidity: 80 , Fensterzustand: Fenster geschlossen , RPM Bath de.hda.fbi.ds.groupc2.Sensor: 3516
10.01.2019 21:53:04: 	Temperature: 36 , Humidity: 73 , Fensterzustand: Fenster offen , RPM Bath de.hda.fbi.ds.groupc2.Sensor: 2377
10.01.2019 21:53:05: 	Temperature: 27 , Humidity: 43 , Fensterzustand: Fenster offen , RPM Bath de.hda.fbi.ds.groupc2.Sensor: 1125
10.01.2019 21:53:06: 	Temperature: 25 , Humidity: 36 , Fensterzustand: Fenster geschlossen , RPM Bath de.hda.fbi.ds.groupc2.Sensor: 3327
10.01.2019 21:53:07: 	Temperature: 31 , Humidity: 59 , Fensterzustand: Fenster offen , RPM Bath de.hda.fbi.ds.groupc2.Sensor: 1812
10.01.2019 21:53:08: 	Temperature: 31 , Humidity: 41 , Fensterzustand: Fenster offen , RPM Bath de.hda.fbi.ds.groupc2.Sensor: 2054
10.01.2019 21:53:09: 	Temperature: 16 , Humidity: 33 , Fensterzustand: Fenster geschlossen , RPM Bath de.hda.fbi.ds.groupc2.Sensor: 2803
10.01.2019 21:53:10: 	Temperature: 25 , Humidity: 38 , Fensterzustand: Fenster geschlossen , RPM Bath de.hda.fbi.ds.groupc2.Sensor: 3194
10.01.2019 21:53:11: 	Temperature: 10 , Humidity: 66 , Fensterzustand: Fenster geschlossen , RPM Bath de.hda.fbi.ds.groupc2.Sensor: 1005
10.01.2019 21:53:12: 	Temperature: 25 , Humidity: 20 , Fensterzustand: Fenster geschlossen , RPM Bath de.hda.fbi.ds.groupc2.Sensor: 3735
10.01.2019 21:53:13: 	Temperature: 36 , Humidity: 74 , Fensterzustand: Fenster geschlossen , RPM Bath de.hda.fbi.ds.groupc2.Sensor: 514
10.01.2019 21:53:14: 	Temperature: 30 , Humidity: 21 , Fensterzustand: Fenster geschlossen , RPM Bath de.hda.fbi.ds.groupc2.Sensor: 3597
10.01.2019 21:53:15: 	Temperature: 20 , Humidity: 48 , Fensterzustand: Fenster offen , RPM Bath de.hda.fbi.ds.groupc2.Sensor: 1655
10.01.2019 21:53:16: 	Temperature: 25 , Humidity: 53 , Fensterzustand: Fenster offen , RPM Bath de.hda.fbi.ds.groupc2.Sensor: 3685
10.01.2019 21:53:17: 	Temperature: 39 , Humidity: 76 , Fensterzustand: Fenster offen , RPM Bath de.hda.fbi.ds.groupc2.Sensor: 2628
10.01.2019 21:53:18: 	Temperature: 25 , Humidity: 28 , Fensterzustand: Fenster offen , RPM Bath de.hda.fbi.ds.groupc2.Sensor: 866
10.01.2019 21:53:19: 	Temperature: 22 , Humidity: 22 , Fensterzustand: Fenster offen , RPM Bath de.hda.fbi.ds.groupc2.Sensor: 3804
10.01.2019 21:53:20: 	Temperature: 22 , Humidity: 36 , Fensterzustand: Fenster offen , RPM Bath de.hda.fbi.ds.groupc2.Sensor: 1789
10.01.2019 21:53:21: 	Temperature: 13 , Humidity: 68 , Fensterzustand: Fenster offen , RPM Bath de.hda.fbi.ds.groupc2.Sensor: 767
10.01.2019 21:53:22: 	Temperature: 14 , Humidity: 40 , Fensterzustand: Fenster geschlossen , RPM Bath de.hda.fbi.ds.groupc2.Sensor: 3385
10.01.2019 21:53:23: 	Temperature: 27 , Humidity: 51 , Fensterzustand: Fenster geschlossen , RPM Bath de.hda.fbi.ds.groupc2.Sensor: 1882
10.01.2019 21:53:24: 	Temperature: 18 , Humidity: 73 , Fensterzustand: Fenster geschlossen , RPM Bath de.hda.fbi.ds.groupc2.Sensor: 719
10.01.2019 21:53:25: 	Temperature: 26 , Humidity: 76 , Fensterzustand: Fenster offen , RPM Bath de.hda.fbi.ds.groupc2.Sensor: 1501
10.01.2019 21:53:26: 	Temperature: 18 , Humidity: 57 , Fensterzustand: Fenster offen , RPM Bath de.hda.fbi.ds.groupc2.Sensor: 657
10.01.2019 21:53:27: 	Temperature: 19 , Humidity: 64 , Fensterzustand: Fenster offen , RPM Bath de.hda.fbi.ds.groupc2.Sensor: 3186
10.01.2019 21:53:28: 	Temperature: 23 , Humidity: 69 , Fensterzustand: Fenster offen , RPM Bath de.hda.fbi.ds.groupc2.Sensor: 1763
10.01.2019 21:53:29: 	Temperature: 15 , Humidity: 25 , Fensterzustand: Fenster geschlossen , RPM Bath de.hda.fbi.ds.groupc2.Sensor: 1495
10.01.2019 21:53:30: 	Temperature: 27 , Humidity: 48 , Fensterzustand: Fenster offen , RPM Bath de.hda.fbi.ds.groupc2.Sensor: 466
10.01.2019 21:53:31: 	Temperature: 23 , Humidity: 64 , Fensterzustand: Fenster offen , RPM Bath de.hda.fbi.ds.groupc2.Sensor: 2534
10.01.2019 21:53:32: 	Temperature: 40 , Humidity: 76 , Fensterzustand: Fenster offen , RPM Bath de.hda.fbi.ds.groupc2.Sensor: 675
10.01.2019 21:53:33: 	Temperature: 15 , Humidity: 70 , Fensterzustand: Fenster geschlossen , RPM Bath de.hda.fbi.ds.groupc2.Sensor: 3529
10.01.2019 21:53:34: 	Temperature: 38 , Humidity: 64 , Fensterzustand: Fenster geschlossen , RPM Bath de.hda.fbi.ds.groupc2.Sensor: 1598
10.01.2019 21:53:35: 	Temperature: 35 , Humidity: 65 , Fensterzustand: Fenster geschlossen , RPM Bath de.hda.fbi.ds.groupc2.Sensor: 868
10.01.2019 21:53:36: 	Temperature: 17 , Humidity: 50 , Fensterzustand: Fenster geschlossen , RPM Bath de.hda.fbi.ds.groupc2.Sensor: 1236
10.01.2019 21:53:37: 	Temperature: 18 , Humidity: 60 , Fensterzustand: Fenster geschlossen , RPM Bath de.hda.fbi.ds.groupc2.Sensor: 3269
10.01.2019 21:53:38: 	Temperature: 10 , Humidity: 61 , Fensterzustand: Fenster geschlossen , RPM Bath de.hda.fbi.ds.groupc2.Sensor: 370
10.01.2019 21:53:39: 	Temperature: 32 , Humidity: 33 , Fensterzustand: Fenster offen , RPM Bath de.hda.fbi.ds.groupc2.Sensor: 2308
10.01.2019 21:53:40: 	Temperature: 18 , Humidity: 75 , Fensterzustand: Fenster offen , RPM Bath de.hda.fbi.ds.groupc2.Sensor: 952
10.01.2019 21:53:41: 	Temperature: 31 , Humidity: 39 , Fensterzustand: Fenster offen , RPM Bath de.hda.fbi.ds.groupc2.Sensor: 2128
10.01.2019 21:53:42: 	Temperature: 18 , Humidity: 25 , Fensterzustand: Fenster geschlossen , RPM Bath de.hda.fbi.ds.groupc2.Sensor: 1622
10.01.2019 21:53:43: 	Temperature: 30 , Humidity: 36 , Fensterzustand: Fenster geschlossen , RPM Bath de.hda.fbi.ds.groupc2.Sensor: 2361
10.01.2019 21:53:44: 	Temperature: 39 , Humidity: 65 , Fensterzustand: Fenster offen , RPM Bath de.hda.fbi.ds.groupc2.Sensor: 1397
10.01.2019 21:53:45: 	Temperature: 33 , Humidity: 65 , Fensterzustand: Fenster offen , RPM Bath de.hda.fbi.ds.groupc2.Sensor: 1214
10.01.2019 21:53:46: 	Temperature: 40 , Humidity: 29 , Fensterzustand: Fenster geschlossen , RPM Bath de.hda.fbi.ds.groupc2.Sensor: 3595
10.01.2019 21:53:47: 	Temperature: 10 , Humidity: 71 , Fensterzustand: Fenster geschlossen , RPM Bath de.hda.fbi.ds.groupc2.Sensor: 2275
10.01.2019 21:53:48: 	Temperature: 19 , Humidity: 27 , Fensterzustand: Fenster geschlossen , RPM Bath de.hda.fbi.ds.groupc2.Sensor: 2733
10.01.2019 21:53:49: 	Temperature: 16 , Humidity: 20 , Fensterzustand: Fenster offen , RPM Bath de.hda.fbi.ds.groupc2.Sensor: 519
10.01.2019 21:53:50: 	Temperature: 32 , Humidity: 76 , Fensterzustand: Fenster offen , RPM Bath de.hda.fbi.ds.groupc2.Sensor: 2720
10.01.2019 21:53:51: 	Temperature: 40 , Humidity: 34 , Fensterzustand: Fenster offen , RPM Bath de.hda.fbi.ds.groupc2.Sensor: 1764
10.01.2019 21:53:52: 	Temperature: 33 , Humidity: 30 , Fensterzustand: Fenster offen , RPM Bath de.hda.fbi.ds.groupc2.Sensor: 2919
10.01.2019 21:53:53: 	Temperature: 20 , Humidity: 69 , Fensterzustand: Fenster offen , RPM Bath de.hda.fbi.ds.groupc2.Sensor: 2807
10.01.2019 21:53:54: 	Temperature: 22 , Humidity: 73 , Fensterzustand: Fenster offen , RPM Bath de.hda.fbi.ds.groupc2.Sensor: 2443
10.01.2019 21:53:55: 	Temperature: 15 , Humidity: 58 , Fensterzustand: Fenster offen , RPM Bath de.hda.fbi.ds.groupc2.Sensor: 3444
10.01.2019 21:53:56: 	Temperature: 27 , Humidity: 70 , Fensterzustand: Fenster offen , RPM Bath de.hda.fbi.ds.groupc2.Sensor: 1281
10.01.2019 21:53:57: 	Temperature: 33 , Humidity: 29 , Fensterzustand: Fenster geschlossen , RPM Bath de.hda.fbi.ds.groupc2.Sensor: 1391
10.01.2019 21:53:58: 	Temperature: 32 , Humidity: 39 , Fensterzustand: Fenster offen , RPM Bath de.hda.fbi.ds.groupc2.Sensor: 2544
10.01.2019 21:53:59: 	Temperature: 28 , Humidity: 25 , Fensterzustand: Fenster geschlossen , RPM Bath de.hda.fbi.ds.groupc2.Sensor: 2828
10.01.2019 21:54:00: 	Temperature: 36 , Humidity: 80 , Fensterzustand: Fenster offen , RPM Bath de.hda.fbi.ds.groupc2.Sensor: 2925
10.01.2019 21:54:01: 	Temperature: 37 , Humidity: 39 , Fensterzustand: Fenster offen , RPM Bath de.hda.fbi.ds.groupc2.Sensor: 1703
10.01.2019 21:54:02: 	Temperature: 30 , Humidity: 75 , Fensterzustand: Fenster offen , RPM Bath de.hda.fbi.ds.groupc2.Sensor: 3975
10.01.2019 21:54:03: 	Temperature: 13 , Humidity: 52 , Fensterzustand: Fenster geschlossen , RPM Bath de.hda.fbi.ds.groupc2.Sensor: 1555
10.01.2019 21:54:04: 	Temperature: 33 , Humidity: 60 , Fensterzustand: Fenster offen , RPM Bath de.hda.fbi.ds.groupc2.Sensor: 1210
10.01.2019 21:54:05: 	Temperature: 20 , Humidity: 28 , Fensterzustand: Fenster geschlossen , RPM Bath de.hda.fbi.ds.groupc2.Sensor: 2454
10.01.2019 21:54:06: 	Temperature: 23 , Humidity: 42 , Fensterzustand: Fenster offen , RPM Bath de.hda.fbi.ds.groupc2.Sensor: 1025
10.01.2019 21:54:07: 	Temperature: 34 , Humidity: 32 , Fensterzustand: Fenster offen , RPM Bath de.hda.fbi.ds.groupc2.Sensor: 1941
10.01.2019 21:54:08: 	Temperature: 19 , Humidity: 23 , Fensterzustand: Fenster offen , RPM Bath de.hda.fbi.ds.groupc2.Sensor: 3833
10.01.2019 21:54:09: 	Temperature: 34 , Humidity: 37 , Fensterzustand: Fenster geschlossen , RPM Bath de.hda.fbi.ds.groupc2.Sensor: 3390
10.01.2019 21:54:10: 	Temperature: 15 , Humidity: 79 , Fensterzustand: Fenster geschlossen , RPM Bath de.hda.fbi.ds.groupc2.Sensor: 3161
10.01.2019 21:54:11: 	Temperature: 23 , Humidity: 64 , Fensterzustand: Fenster offen , RPM Bath de.hda.fbi.ds.groupc2.Sensor: 936
10.01.2019 21:54:12: 	Temperature: 38 , Humidity: 65 , Fensterzustand: Fenster offen , RPM Bath de.hda.fbi.ds.groupc2.Sensor: 1022
10.01.2019 21:54:13: 	Temperature: 12 , Humidity: 77 , Fensterzustand: Fenster geschlossen , RPM Bath de.hda.fbi.ds.groupc2.Sensor: 603
10.01.2019 21:54:14: 	Temperature: 18 , Humidity: 21 , Fensterzustand: Fenster geschlossen , RPM Bath de.hda.fbi.ds.groupc2.Sensor: 3945
10.01.2019 21:54:15: 	Temperature: 27 , Humidity: 74 , Fensterzustand: Fenster geschlossen , RPM Bath de.hda.fbi.ds.groupc2.Sensor: 535
10.01.2019 21:54:16: 	Temperature: 35 , Humidity: 79 , Fensterzustand: Fenster geschlossen , RPM Bath de.hda.fbi.ds.groupc2.Sensor: 1407
10.01.2019 21:54:17: 	Temperature: 31 , Humidity: 47 , Fensterzustand: Fenster offen , RPM Bath de.hda.fbi.ds.groupc2.Sensor: 531
10.01.2019 21:54:18: 	Temperature: 33 , Humidity: 59 , Fensterzustand: Fenster offen , RPM Bath de.hda.fbi.ds.groupc2.Sensor: 2652
10.01.2019 21:54:19: 	Temperature: 26 , Humidity: 72 , Fensterzustand: Fenster geschlossen , RPM Bath de.hda.fbi.ds.groupc2.Sensor: 2538
10.01.2019 21:54:20: 	Temperature: 31 , Humidity: 72 , Fensterzustand: Fenster offen , RPM Bath de.hda.fbi.ds.groupc2.Sensor: 2785
10.01.2019 21:54:21: 	Temperature: 35 , Humidity: 70 , Fensterzustand: Fenster geschlossen , RPM Bath de.hda.fbi.ds.groupc2.Sensor: 2115
10.01.2019 21:54:22: 	Temperature: 16 , Humidity: 42 , Fensterzustand: Fenster geschlossen , RPM Bath de.hda.fbi.ds.groupc2.Sensor: 894
10.01.2019 21:54:23: 	Temperature: 20 , Humidity: 44 , Fensterzustand: Fenster geschlossen , RPM Bath de.hda.fbi.ds.groupc2.Sensor: 1322
10.01.2019 21:54:24: 	Temperature: 18 , Humidity: 59 , Fensterzustand: Fenster offen , RPM Bath de.hda.fbi.ds.groupc2.Sensor: 2972
10.01.2019 21:54:25: 	Temperature: 25 , Humidity: 51 , Fensterzustand: Fenster offen , RPM Bath de.hda.fbi.ds.groupc2.Sensor: 643
10.01.2019 21:54:26: 	Temperature: 24 , Humidity: 47 , Fensterzustand: Fenster geschlossen , RPM Bath de.hda.fbi.ds.groupc2.Sensor: 637
10.01.2019 21:54:27: 	Temperature: 30 , Humidity: 77 , Fensterzustand: Fenster geschlossen , RPM Bath de.hda.fbi.ds.groupc2.Sensor: 1761
10.01.2019 21:54:28: 	Temperature: 19 , Humidity: 24 , Fensterzustand: Fenster geschlossen , RPM Bath de.hda.fbi.ds.groupc2.Sensor: 3780
10.01.2019 21:54:29: 	Temperature: 38 , Humidity: 54 , Fensterzustand: Fenster geschlossen , RPM Bath de.hda.fbi.ds.groupc2.Sensor: 2689
10.01.2019 21:54:30: 	Temperature: 33 , Humidity: 41 , Fensterzustand: Fenster offen , RPM Bath de.hda.fbi.ds.groupc2.Sensor: 2580
10.01.2019 21:54:31: 	Temperature: 24 , Humidity: 66 , Fensterzustand: Fenster geschlossen , RPM Bath de.hda.fbi.ds.groupc2.Sensor: 2802
10.01.2019 21:54:32: 	Temperature: 25 , Humidity: 75 , Fensterzustand: Fenster offen , RPM Bath de.hda.fbi.ds.groupc2.Sensor: 3193
10.01.2019 21:54:33: 	Temperature: 15 , Humidity: 69 , Fensterzustand: Fenster geschlossen , RPM Bath de.hda.fbi.ds.groupc2.Sensor: 3628
10.01.2019 21:54:34: 	Temperature: 37 , Humidity: 22 , Fensterzustand: Fenster offen , RPM Bath de.hda.fbi.ds.groupc2.Sensor: 1017
10.01.2019 21:54:35: 	Temperature: 20 , Humidity: 50 , Fensterzustand: Fenster offen , RPM Bath de.hda.fbi.ds.groupc2.Sensor: 674
10.01.2019 21:54:36: 	Temperature: 13 , Humidity: 47 , Fensterzustand: Fenster offen , RPM Bath de.hda.fbi.ds.groupc2.Sensor: 453
10.01.2019 21:54:37: 	Temperature: 25 , Humidity: 37 , Fensterzustand: Fenster geschlossen , RPM Bath de.hda.fbi.ds.groupc2.Sensor: 3142
10.01.2019 21:54:38: 	Temperature: 23 , Humidity: 72 , Fensterzustand: Fenster geschlossen , RPM Bath de.hda.fbi.ds.groupc2.Sensor: 1589
10.01.2019 21:54:39: 	Temperature: 25 , Humidity: 66 , Fensterzustand: Fenster offen , RPM Bath de.hda.fbi.ds.groupc2.Sensor: 2167
10.01.2019 21:54:40: 	Temperature: 20 , Humidity: 65 , Fensterzustand: Fenster geschlossen , RPM Bath de.hda.fbi.ds.groupc2.Sensor: 2190
10.01.2019 21:54:41: 	Temperature: 29 , Humidity: 59 , Fensterzustand: Fenster offen , RPM Bath de.hda.fbi.ds.groupc2.Sensor: 1176
10.01.2019 21:54:42: 	Temperature: 10 , Humidity: 36 , Fensterzustand: Fenster geschlossen , RPM Bath de.hda.fbi.ds.groupc2.Sensor: 569
10.01.2019 21:54:43: 	Temperature: 19 , Humidity: 71 , Fensterzustand: Fenster offen , RPM Bath de.hda.fbi.ds.groupc2.Sensor: 442
